               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086606,            0.031726,            0.049227,           0.0029269,             0.77317,            0.014643,           0.0041526,            0.068926,            0.027621,            0.044006,               0.073,               0.003,               0.003
                   1,            0.066529,            0.025969,            0.045933,           0.0028776,             0.77826,            0.080439,            0.023466,            0.066725,            0.020639,            0.039724,            0.044979,           0.0059792,           0.0059792
                   2,            0.064044,            0.021701,            0.042452,             0.39745,               0.339,             0.18166,            0.057491,            0.059461,            0.018994,            0.036231,            0.016836,           0.0088357,           0.0088357
                   3,            0.062613,            0.018951,            0.039151,             0.24508,             0.15726,             0.12398,             0.04487,            0.068518,            0.015436,             0.03804,            0.009406,            0.009406,            0.009406
                   4,            0.058292,            0.017595,            0.038121,             0.36495,              0.4601,             0.43756,             0.15308,            0.052493,            0.016588,            0.035178,            0.009406,            0.009406,            0.009406
                   5,            0.052847,            0.016214,             0.03413,              0.2605,             0.46076,             0.39496,             0.14792,            0.053127,            0.014148,            0.028912,            0.009208,            0.009208,            0.009208
                   6,            0.054569,            0.014742,            0.031014,             0.25942,             0.56509,              0.3234,             0.14154,             0.06077,            0.012868,            0.026495,             0.00901,             0.00901,             0.00901
                   7,            0.053198,            0.014261,            0.026175,              0.2401,             0.59402,             0.36323,             0.09722,            0.067816,             0.01237,            0.026119,            0.008812,            0.008812,            0.008812
                   8,            0.054672,            0.013075,            0.025517,             0.50872,             0.53405,             0.59944,             0.25678,            0.053994,            0.011632,            0.022948,            0.008614,            0.008614,            0.008614
                   9,            0.054012,            0.012749,            0.019929,             0.42197,             0.82429,             0.59979,             0.19747,            0.060247,            0.012227,            0.022111,            0.008416,            0.008416,            0.008416
                  10,            0.056962,            0.012608,            0.017343,             0.18343,              0.6409,             0.36816,            0.095578,            0.063675,            0.011954,            0.020279,            0.008218,            0.008218,            0.008218
                  11,            0.053327,            0.012189,            0.015117,             0.39683,             0.83958,             0.64026,             0.28545,            0.048736,            0.012268,            0.014863,             0.00802,             0.00802,             0.00802
                  12,            0.052023,            0.011514,            0.011687,             0.72582,             0.57133,             0.60947,             0.23228,            0.056799,            0.012051,             0.01388,            0.007822,            0.007822,            0.007822
                  13,            0.052868,            0.011268,            0.011323,             0.67715,             0.46088,             0.52586,             0.26597,             0.05359,              0.0109,            0.023612,            0.007624,            0.007624,            0.007624
                  14,            0.052845,            0.011189,             0.01045,             0.51841,             0.47103,             0.50114,             0.20205,            0.065386,            0.010687,            0.015725,            0.007426,            0.007426,            0.007426
                  15,            0.062454,            0.010917,           0.0088246,             0.52566,             0.81695,             0.72997,             0.30868,            0.054208,            0.010644,             0.01866,            0.007228,            0.007228,            0.007228
                  16,            0.055461,            0.010726,            0.013368,             0.36442,              0.8758,             0.60862,             0.27036,            0.057858,           0.0097517,            0.015499,             0.00703,             0.00703,             0.00703
                  17,            0.054251,            0.011018,            0.010612,             0.70798,             0.62369,             0.65005,             0.35008,              0.0487,           0.0095803,            0.016458,            0.006832,            0.006832,            0.006832
                  18,            0.047812,            0.010765,            0.010935,             0.44271,             0.85771,             0.74238,             0.33011,            0.052984,            0.009592,            0.010614,            0.006634,            0.006634,            0.006634
                  19,            0.050208,            0.010614,           0.0080991,             0.41562,             0.94621,             0.74357,             0.32808,            0.047855,           0.0089592,            0.011241,            0.006436,            0.006436,            0.006436
                  20,            0.047256,           0.0096566,           0.0078736,             0.55304,             0.88309,              0.7383,              0.3759,            0.049805,           0.0085119,           0.0096327,            0.006238,            0.006238,            0.006238
                  21,            0.047435,           0.0093901,           0.0070397,             0.52926,             0.89842,             0.84669,             0.46785,             0.04712,           0.0081273,           0.0092492,             0.00604,             0.00604,             0.00604
                  22,            0.046204,           0.0093313,           0.0083881,             0.50237,             0.91154,             0.83754,             0.42128,             0.05362,           0.0081601,           0.0097102,            0.005842,            0.005842,            0.005842
                  23,            0.049012,           0.0095938,           0.0057864,             0.61023,              0.9169,             0.89075,              0.4927,            0.049509,            0.008087,           0.0068719,            0.005644,            0.005644,            0.005644
                  24,            0.050585,           0.0091438,           0.0058021,             0.58567,             0.89769,             0.89028,             0.49845,             0.04831,           0.0081655,           0.0084943,            0.005446,            0.005446,            0.005446
                  25,              0.0463,           0.0092801,           0.0071592,             0.86048,             0.90143,             0.94296,             0.54459,             0.04919,           0.0077279,            0.006917,            0.005248,            0.005248,            0.005248
                  26,            0.041305,           0.0091365,           0.0062279,             0.57218,             0.72419,             0.71247,             0.41288,            0.048076,           0.0078653,           0.0080057,             0.00505,             0.00505,             0.00505
                  27,            0.046646,           0.0088483,           0.0062439,             0.64659,             0.92442,             0.90129,             0.52032,            0.046663,           0.0080125,           0.0078235,            0.004852,            0.004852,            0.004852
                  28,            0.046127,           0.0087479,            0.005532,             0.68652,             0.94741,             0.93231,             0.51481,            0.042307,           0.0078096,           0.0087232,            0.004654,            0.004654,            0.004654
                  29,            0.042399,           0.0088836,           0.0069961,             0.59913,             0.92162,             0.77041,             0.35686,            0.045546,           0.0083657,           0.0080575,            0.004456,            0.004456,            0.004456
                  30,            0.043732,           0.0092398,           0.0061234,             0.55521,             0.91523,             0.81103,             0.43242,            0.047753,            0.008107,           0.0067726,            0.004258,            0.004258,            0.004258
                  31,            0.048808,           0.0084607,           0.0045319,              0.4392,             0.75189,             0.75258,             0.38284,            0.042639,            0.007926,           0.0080174,             0.00406,             0.00406,             0.00406
                  32,            0.040785,           0.0085572,           0.0058165,             0.70479,             0.95939,             0.95328,             0.53783,            0.038048,           0.0075828,           0.0056726,            0.003862,            0.003862,            0.003862
                  33,            0.036427,           0.0083775,           0.0055624,             0.69137,             0.81531,             0.82219,             0.48621,            0.044152,           0.0074142,           0.0069722,            0.003664,            0.003664,            0.003664
                  34,            0.037631,           0.0083033,           0.0047449,             0.59317,             0.94004,             0.88629,             0.50384,            0.038365,           0.0075917,           0.0048681,            0.003466,            0.003466,            0.003466
                  35,            0.039091,           0.0081822,            0.004334,             0.58207,             0.96061,              0.8876,             0.43593,            0.042426,           0.0076242,           0.0054072,            0.003268,            0.003268,            0.003268
                  36,            0.042648,           0.0082905,           0.0048877,             0.72954,             0.94471,             0.93482,             0.61073,            0.040476,           0.0075288,           0.0059149,             0.00307,             0.00307,             0.00307
                  37,            0.040488,           0.0080862,           0.0050886,              0.7933,             0.93711,             0.91584,             0.57965,            0.038444,           0.0074214,           0.0059403,            0.002872,            0.002872,            0.002872
                  38,            0.035126,            0.008003,           0.0055231,             0.95537,              0.9262,             0.98865,             0.69375,            0.033876,           0.0070583,           0.0056997,            0.002674,            0.002674,            0.002674
                  39,            0.032172,           0.0078096,           0.0048453,             0.94023,             0.94747,             0.98709,             0.68569,            0.034376,           0.0071437,           0.0049157,            0.002476,            0.002476,            0.002476
                  40,            0.032453,           0.0076655,           0.0036536,             0.89907,             0.92659,              0.9519,             0.65285,            0.033119,           0.0070753,           0.0042574,            0.002278,            0.002278,            0.002278
                  41,            0.032146,           0.0076167,           0.0033854,             0.97649,             0.93959,             0.99129,              0.6991,            0.031277,           0.0069418,           0.0039972,             0.00208,             0.00208,             0.00208
                  42,            0.032433,           0.0075562,           0.0034476,             0.93448,             0.94692,             0.98726,             0.66333,            0.032517,           0.0068641,            0.004173,            0.001882,            0.001882,            0.001882
                  43,            0.028369,           0.0076209,           0.0034316,             0.91981,             0.98982,             0.99451,             0.68269,            0.030241,           0.0068199,            0.003888,            0.001684,            0.001684,            0.001684
                  44,             0.02815,           0.0077007,            0.003349,             0.98058,             0.97437,             0.99462,             0.66746,            0.030483,             0.00674,           0.0039458,            0.001486,            0.001486,            0.001486
                  45,            0.027094,           0.0074437,           0.0032665,             0.97268,             0.99152,             0.99438,             0.68382,            0.028784,           0.0066247,           0.0038342,            0.001288,            0.001288,            0.001288
                  46,            0.026284,           0.0073126,           0.0031387,              0.9723,             0.98855,              0.9946,             0.69215,            0.028137,           0.0065211,            0.003678,             0.00109,             0.00109,             0.00109
                  47,            0.023275,           0.0071436,           0.0027989,             0.98483,             0.98154,             0.99469,             0.69546,             0.02663,           0.0065372,           0.0034783,            0.000892,            0.000892,            0.000892
                  48,            0.022271,            0.006917,           0.0026473,             0.98478,             0.98105,               0.995,              0.7389,            0.026266,           0.0065304,           0.0031959,            0.000694,            0.000694,            0.000694
                  49,            0.022256,           0.0069077,           0.0025568,             0.97799,             0.98769,               0.995,             0.73955,            0.025787,           0.0064879,           0.0030027,            0.000496,            0.000496,            0.000496
